Country,Ease of Business,Business Tax Rate,Ease of Business (clusters),Hours to do Tax,Region,Year,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Malawi,161,0.324,Low,175,Africa,12/1/2012,0.04,,40,,4240492849,0.092,25,0.046,0.044,0.323,55,55,0.292,0.454,0.514,0.031,15906483,0.158,38000000,101000000
Malaysia,8,0.245,Very Friendly,133,Asia,12/1/2012,0.018,,6,,305033000000,0.039,410,0.007,0.658,0.048,77,73,1.413,0.267,0.682,0.052,29239927,0.725,20251000000,11545000000
Maldives,81,0.268,Friendly,252,Asia,12/1/2012,0.022,,9,,2113179304,0.085,558,0.009,0.389,0.105,79,77,1.656,0.29,0.66,0.05,338442,0.423,1873000000,270000000
Mali,153,0.511,Low,270,Africa,12/1/2012,0.047,,8,,10340794110,0.058,42,0.079,0.022,,54,55,0.984,0.471,0.5,0.028,14853572,0.376,,
Malta,100,0.409,Friendly,139,Europe,12/1/2012,0.01,,40,,8863076923,0.091,1835,0.005,0.682,0.047,83,79,1.244,0.15,0.694,0.156,419455,0.95,1451000000,408000000
Marshall Islands,110,0.648,Moderate,128,Oceania,12/1/2012,,,17,,173000000,0.156,590,0.031,0.1,,,,,,,,52555,0.719,,
Mauritania,171,0.682,Low,696,Africa,12/1/2012,0.034,,19,,3958701369,0.064,52,0.068,0.054,0.17,63,60,1.06,0.402,0.566,0.032,3796141,0.58,,
Mauritius,20,0.275,Very Friendly,161,Africa,12/1/2012,0.011,,6,,11442063228,0.048,444,0.013,0.354,0.087,77,70,1.199,0.202,0.715,0.084,1291167,0.402,1778000000,394000000
Mexico,51,0.525,Very Friendly,337,The Americas,12/1/2012,0.019,,6,191924,1186460000000,0.061,618,0.013,0.398,0.047,80,75,0.834,0.29,0.647,0.063,120847477,0.784,13320000000,10735000000
"Micronesia, Fed. Sts.",150,0.599,Low,128,Oceania,12/1/2012,0.024,,16,,326160961,0.128,405,0.031,0.26,0.143,70,68,0.302,0.358,0.602,0.039,103395,0.223,,
Moldova,86,0.308,Friendly,220,Europe,12/1/2012,0.012,,9,,7284686576,0.117,239,0.014,0.434,0.134,73,65,1.02,0.165,0.722,0.112,3559519,0.449,294000000,420000000
Monaco,,,Not Clustered,,Europe,12/1/2012,,,,,,0.044,6708,0.003,0.87,,,,0.883,,,,37579,1,,
Mongolia,80,0.246,Friendly,192,Asia,12/1/2012,0.023,,12,,10321968595,0.063,232,0.027,0.164,0.181,71,63,1.207,0.271,0.691,0.038,2796484,0.695,480000000,420000000
Montenegro,50,0.209,Very Friendly,320,Europe,12/1/2012,0.012,,10,,4045813953,0.076,493,0.005,0.568,0.096,77,72,1.595,0.19,0.682,0.128,621081,0.635,860000000,67000000
Morocco,95,0.496,Friendly,238,Africa,12/1/2012,0.023,,12,,95981572517,0.064,190,0.027,0.554,,72,69,1.2,0.278,0.672,0.05,32521143,0.587,8491000000,2095000000
Mozambique,142,0.375,Moderate,230,Africa,12/1/2012,0.039,,13,,14376457305,0.064,37,0.064,0.048,0.168,51,49,0.349,0.454,0.514,0.033,25203395,0.314,289000000,230000000
Myanmar,182,0.527,Low,155,Asia,12/1/2012,0.017,,72,,,0.018,20,0.041,0.011,0.13,67,63,0.071,0.253,0.696,0.052,52797319,0.325,,
Namibia,94,0.218,Friendly,314,Africa,12/1/2012,0.026,,66,,13399386550,0.083,473,0.036,0.129,0.087,67,61,0.95,0.366,0.599,0.035,2259393,0.437,,
Nepal,103,0.315,Moderate,326,Asia,12/1/2012,0.022,,29,,19206800719,0.055,36,0.033,0.111,,69,67,0.605,0.356,0.594,0.051,27474377,0.175,379000000,561000000
Netherlands,30,0.392,Very Friendly,127,Europe,12/1/2012,0.011,,5,78220,770067000000,0.124,5737,0.004,0.929,0.016,83,79,1.18,0.172,0.663,0.164,16754962,0.886,20527000000,20346000000
